news,漲,佳,好,穩,正,惠,效益,升,樂觀,增,跌,壓力,弱,不足,逆,降,挫,衝擊,悲,減
2014-06-12 103247.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12 103249.txt,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2014-06-13 103368.txt,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
2014-06-13 103387.txt,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-13 103433.txt,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-06-13 103493.txt,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2014-06-13 103827.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-14 103859.txt,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-06-16 103899.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-17 104411.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-17 104554.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-17 105083.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-18 105201.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-18 105301.txt,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
2014-06-18 105961.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-18 106086.txt,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-19 106134.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-19 106203.txt,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2014-06-20 106918.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-20 106987.txt,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2014-06-20 107758.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-23 107924.txt,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
2014-06-23 108059.txt,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2014-06-23 108592.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-24 108638.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
